Order ID,Order Date,Region,State,City,Customer Segment,Customer Name,Product Category,Sub Category,Product Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Salesperson,Payment Method
ORD-2023001,2024-10-16,West,California,Los Angeles,Home Office,Jamie Bennett,Furniture,Chairs,Halden Ergo Chair,2,371.65,0,743.3,509.77,233.53,Marcus Chen,Debit Card
ORD-2023002,2023-08-27,West,California,San Francisco,Small Business,Casey Ortega,Furniture,Tables,Compass Meeting Table,1,880.07,0,880.07,637.63,242.44,Noah Kim,PayPal
ORD-2023003,2023-06-09,East,Pennsylvania,Philadelphia,Consumer,Parker Emerson,Technology,Accessories,BraidedCharge USB-C Cable,1,18.56,0,18.56,13.32,5.24,Elena Garcia,Credit Card
ORD-2023004,2024-07-19,Central,Texas,Austin,Corporate,Sam Emerson,Technology,Phones,Nimbus Pro Phone,4,1068.12,0.1,3845.23,2986.21,859.02,Elena Garcia,PayPal
ORD-2023005,2024-04-09,Central,Texas,Dallas,Home Office,Sam Garrison,Office Supplies,Binders,SlimEdge Ring Binder,2,5.7,0,11.4,7.67,3.73,Jonas Weber,Wire Transfer
ORD-2023006,2023-10-04,East,Pennsylvania,Philadelphia,Consumer,Hayden Lockhart,Furniture,Chairs,Kestrel Task Chair,1,218.16,0,218.16,130.57,87.59,Sofia Rossi,Apple Pay
ORD-2023007,2024-05-26,South,Louisiana,New Orleans,Corporate,Quinn Mercer,Office Supplies,Binders,"VaultBind 2"" Binder",3,12.53,0.15,31.95,24.17,7.78,Sofia Rossi,Debit Card
ORD-2023008,2024-06-05,South,Georgia,Atlanta,Consumer,Quinn Nash,Technology,Phones,Nimbus Pro Phone,1,1057.67,0.15,899.02,617.78,281.24,Maya Sharma,Wire Transfer
ORD-2023009,2024-06-25,Central,Illinois,Chicago,Consumer,Casey Rowland,Office Supplies,Writing,Onyx Gel Pens (12-pack),2,14.11,0.1,25.4,19.65,5.75,Marcus Chen,Apple Pay
ORD-2023010,2023-11-02,East,Massachusetts,Boston,Home Office,Avery Klein,Furniture,Storage,Cirrus 3-Drawer Cabinet,4,234.46,0.2,750.27,416.01,334.26,Sofia Rossi,Credit Card
ORD-2023011,2023-09-04,West,California,Los Angeles,Small Business,Emerson Ortega,Technology,Computers,Vector 14 Laptop,4,1422.74,0.1,5121.86,3438.64,1683.22,Sofia Rossi,Purchase Order
ORD-2023012,2024-12-07,East,Pennsylvania,Philadelphia,Small Business,Alex Thorne,Office Supplies,Storage,ClearFile Document Tote,4,30.62,0.05,116.36,65.71,50.65,Yuki Tanaka,Debit Card
ORD-2023013,2024-08-25,East,New York,New York,Consumer,Elliot Holloway,Technology,Phones,Aurora X12 Smartphone,6,853.98,0.05,4867.69,2989.0,1878.69,Yuki Tanaka,Debit Card
ORD-2023014,2024-08-07,South,Tennessee,Nashville,Small Business,Sasha Pemberton,Apparel,Uniforms,FieldOps Polo (M),1,32.42,0.15,27.56,17.4,10.16,Chloe Dubois,Credit Card
ORD-2023015,2024-11-20,West,California,Los Angeles,Small Business,Sam Delgado,Office Supplies,Paper,Silverleaf A4 Ream (500),4,7.68,0,30.72,18.86,11.86,Jonas Weber,Purchase Order
ORD-2023016,2023-04-11,West,California,Los Angeles,Consumer,Jamie Garrison,Furniture,Chairs,Kestrel Task Chair,5,220.75,0.05,1048.56,785.23,263.33,Elena Garcia,Credit Card
ORD-2023017,2024-02-04,Central,Missouri,Kansas City,Home Office,Jamie Carter,Apparel,Footwear,Trailmate Work Boots,3,122.32,0,366.96,264.96,102.0,Maya Sharma,Wire Transfer
ORD-2023018,2024-05-29,East,New York,New York,Consumer,Hayden Ibarra,Furniture,Chairs,Loft Lounge Chair,4,568.76,0.05,2161.29,1389.42,771.87,Maya Sharma,Purchase Order
ORD-2023019,2023-02-10,West,Oregon,Portland,Home Office,Taylor Bennett,Office Supplies,Binders,SlimEdge Ring Binder,3,6.2,0.1,16.74,10.97,5.77,Jonas Weber,Purchase Order
ORD-2023020,2024-07-30,West,California,Los Angeles,Corporate,Casey Pemberton,Office Supplies,Binders,SlimEdge Ring Binder,5,6.38,0.05,30.3,19.24,11.06,Yuki Tanaka,Apple Pay
ORD-2023021,2023-11-06,West,Washington,Seattle,Consumer,Reese Holloway,Furniture,Tables,Northwood Oak Desk,5,470.3,0.1,2116.35,1458.4,657.95,Diego Alvarez,Apple Pay
ORD-2023022,2023-09-28,South,North Carolina,Charlotte,Consumer,Morgan Jansen,Technology,Computers,Vector 16 Studio,1,2322.38,0,2322.38,1279.2,1043.18,Priya Patel,Apple Pay
ORD-2023023,2024-03-28,South,Georgia,Atlanta,Consumer,Jamie Klein,Technology,Computers,Vector 14 Laptop,1,1429.15,0,1429.15,927.31,501.84,Noah Kim,Credit Card
ORD-2023024,2024-01-02,East,Massachusetts,Boston,Consumer,Casey Ortega,Office Supplies,Storage,StackWell Storage Bin,2,25.67,0.05,48.77,36.52,12.25,Ava Nguyen,Debit Card
ORD-2023025,2023-12-07,South,Tennessee,Nashville,Home Office,Rowan Mercer,Furniture,Storage,Cirrus 3-Drawer Cabinet,2,230.35,0.05,437.66,322.91,114.75,Liam O'Connor,Debit Card
ORD-2023026,2023-08-17,West,California,San Francisco,Small Business,Skyler Nash,Office Supplies,Writing,Onyx Gel Pens (12-pack),3,16.13,0.1,43.55,27.47,16.08,Diego Alvarez,Purchase Order
ORD-2023027,2023-12-06,West,California,Los Angeles,Home Office,Skyler Emerson,Furniture,Storage,Ember Filing Unit,5,176.92,0.1,796.14,517.79,278.35,Elena Garcia,Purchase Order
ORD-2023028,2023-07-14,Central,Illinois,Chicago,Small Business,Taylor Lockhart,Technology,Computers,Meridian Mini Desktop,3,827.89,0.05,2359.49,1495.38,864.11,Maya Sharma,PayPal
ORD-2023029,2024-11-10,West,Washington,Seattle,Home Office,Casey Underwood,Apparel,Footwear,Portside Slip-On,2,71.55,0.15,121.63,85.84,35.79,Maya Sharma,PayPal
ORD-2023030,2024-02-20,West,Washington,Seattle,Home Office,Rowan Holloway,Furniture,Tables,Compass Meeting Table,1,921.41,0.1,829.27,544.79,284.48,Yuki Tanaka,Wire Transfer
ORD-2023031,2023-06-23,West,Washington,Seattle,Home Office,Elliot Underwood,Technology,Phones,Nimbus Pro Phone,1,1055.73,0,1055.73,640.1,415.63,Marcus Chen,Wire Transfer
ORD-2023032,2024-02-29,East,Florida,Miami,Small Business,Jordan Ortega,Apparel,Uniforms,FieldOps Polo (M),6,35.08,0,210.48,158.98,51.5,Sofia Rossi,Debit Card
ORD-2023033,2024-12-13,South,Georgia,Atlanta,Corporate,Rowan Underwood,Technology,Accessories,BraidedCharge USB-C Cable,4,20.49,0.1,73.76,56.69,17.07,Chloe Dubois,Purchase Order
ORD-2023034,2024-03-12,South,Tennessee,Nashville,Small Business,Skyler Quintero,Apparel,Footwear,Trailmate Work Boots,1,136.43,0.1,122.79,89.16,33.63,Diego Alvarez,Debit Card
ORD-2023035,2023-10-09,South,Georgia,Atlanta,Home Office,Morgan Holloway,Furniture,Tables,Atlas Standing Desk,2,622.63,0.05,1183.0,754.87,428.13,Marcus Chen,Wire Transfer
ORD-2023036,2024-02-22,Central,Missouri,Kansas City,Small Business,Hayden Nash,Technology,Phones,Aurora Lite 5G,5,546.0,0,2730.0,2039.44,690.56,Jonas Weber,Credit Card
ORD-2023037,2023-12-27,Central,Missouri,Kansas City,Small Business,Rowan Fitzgerald,Furniture,Tables,Northwood Oak Desk,2,486.28,0.15,826.68,592.37,234.31,Maya Sharma,Purchase Order
ORD-2023038,2023-01-28,South,Georgia,Atlanta,Consumer,Riley Pemberton,Apparel,Uniforms,FieldOps Polo (L),5,32.83,0.1,147.73,94.13,53.6,Noah Kim,PayPal
ORD-2023039,2024-01-24,Central,Missouri,Kansas City,Home Office,Jamie Bennett,Technology,Accessories,BraidedCharge USB-C Cable,3,20.39,0.05,58.11,40.65,17.46,Sofia Rossi,Debit Card
ORD-2023040,2023-01-21,East,Massachusetts,Boston,Corporate,Avery Garrison,Apparel,Uniforms,HighVis Softshell,2,95.47,0.2,152.75,108.59,44.16,Maya Sharma,Purchase Order
ORD-2023041,2023-04-28,East,Pennsylvania,Philadelphia,Consumer,Sam Emerson,Technology,Accessories,HyperDock 8-in-1 Hub,1,78.65,0.05,74.72,42.4,32.32,Chloe Dubois,PayPal
ORD-2023042,2024-12-01,West,California,Los Angeles,Home Office,Sasha Quintero,Apparel,Footwear,Trailmate Work Boots,1,130.4,0.1,117.36,64.89,52.47,Marcus Chen,Wire Transfer
ORD-2023043,2024-01-06,South,Tennessee,Nashville,Small Business,Hayden Jansen,Furniture,Storage,Ember Filing Unit,1,187.67,0.2,150.14,97.62,52.52,Noah Kim,Debit Card
ORD-2023044,2023-03-30,Central,Missouri,Kansas City,Corporate,Riley Mercer,Apparel,Footwear,Portside Slip-On,1,69.86,0.1,62.87,37.21,25.66,Liam O'Connor,PayPal
ORD-2023045,2023-10-14,Central,Illinois,Chicago,Corporate,Elliot Pemberton,Technology,Phones,Nimbus Pro Phone,1,1070.04,0.2,856.03,597.99,258.04,Ava Nguyen,Credit Card
ORD-2023046,2023-10-29,East,Florida,Miami,Corporate,Parker Lockhart,Office Supplies,Writing,Meridian Fineliners (6-pack),4,22.38,0.1,80.57,52.2,28.37,Noah Kim,Apple Pay
ORD-2023047,2024-04-09,Central,Texas,Austin,Home Office,Elliot Jansen,Furniture,Chairs,Loft Lounge Chair,3,608.0,0,1824.0,1083.56,740.44,Chloe Dubois,Purchase Order
ORD-2023048,2024-06-21,Central,Illinois,Chicago,Corporate,Morgan Jansen,Office Supplies,Binders,SlimEdge Ring Binder,4,5.79,0,23.16,16.51,6.65,Ava Nguyen,Credit Card
ORD-2023049,2024-07-20,Central,Texas,Dallas,Small Business,Elliot Emerson,Technology,Phones,Nimbus Pro Phone,2,1085.48,0,2170.96,1320.1,850.86,Marcus Chen,Wire Transfer
ORD-2023050,2024-05-18,West,California,Los Angeles,Corporate,Sasha Underwood,Furniture,Storage,Ember Filing Unit,5,170.39,0.05,809.35,467.19,342.16,Maya Sharma,Purchase Order
ORD-2023051,2023-08-20,South,Louisiana,New Orleans,Small Business,Riley Holloway,Office Supplies,Storage,ClearFile Document Tote,2,34.38,0,68.76,52.8,15.96,Liam O'Connor,Apple Pay
ORD-2023052,2023-03-25,East,Massachusetts,Boston,Corporate,Sam Klein,Technology,Phones,Aurora X12 Smartphone,2,896.48,0.2,1434.37,884.99,549.38,Chloe Dubois,PayPal
ORD-2023053,2024-12-20,South,Georgia,Atlanta,Corporate,Taylor Carter,Office Supplies,Binders,SlimEdge Ring Binder,4,5.77,0.1,20.77,15.37,5.4,Priya Patel,PayPal
ORD-2023054,2024-09-01,Central,Missouri,Kansas City,Consumer,Emerson Carter,Apparel,Footwear,Portside Slip-On,4,79.33,0.2,253.86,165.18,88.68,Elena Garcia,Apple Pay
ORD-2023055,2023-11-27,Central,Illinois,Chicago,Consumer,Casey Quintero,Furniture,Storage,Cirrus 3-Drawer Cabinet,6,223.9,0,1343.4,974.66,368.74,Yuki Tanaka,Apple Pay
ORD-2023056,2024-03-28,Central,Texas,Dallas,Small Business,Jordan Garrison,Apparel,Uniforms,FieldOps Polo (L),3,33.62,0.1,90.77,56.63,34.14,Noah Kim,Wire Transfer
ORD-2023057,2024-12-11,South,North Carolina,Charlotte,Small Business,Alex Sinclair,Technology,Accessories,BraidedCharge USB-C Cable,2,20.44,0.15,34.75,26.03,8.72,Jonas Weber,Wire Transfer
ORD-2023058,2023-02-25,East,Pennsylvania,Philadelphia,Small Business,Rowan Quintero,Apparel,Uniforms,FieldOps Polo (M),4,33.23,0,132.92,101.47,31.45,Marcus Chen,Credit Card
ORD-2023059,2024-10-07,East,Massachusetts,Boston,Home Office,Morgan Quintero,Technology,Computers,Vector 16 Studio,8,2348.11,0.2,15027.9,11538.78,3489.12,Chloe Dubois,PayPal
ORD-2023060,2024-06-05,Central,Missouri,Kansas City,Small Business,Emerson Rowland,Apparel,Uniforms,FieldOps Polo (L),6,34.58,0.15,176.36,104.73,71.63,Chloe Dubois,Debit Card
